SUN|(FORD) Sunliner, Ford (see English, French, German, and Italian Ford); (PLYM) Sundance, Plymouth; (PONT) Sunbird, Pontiac; (SOLE) Sunrise, Solectria
GRM|(PONT) Grand AM, Pontiac
ELI|(FORD) Elite, Ford (see English, French, German, and Italian Ford); (LOTU) Elite, Lotus
F45|(FORD) F450, Ford (see English, French, German, and Italian Ford)
IS3|(LEXS) IS300, Lexus
DEF|(LNDR) Defender 90, Defender 110, Land Rover
528|(BMW) 528i, BMW
C8|(SPYK) C8 Laviolette, Spyker Motorcars; (SPYK) C8 Spyder, Spyker Motorcars
JAV|(AMER) Javelin, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER)
CRU|(CHRY) PT Cruiser, Chrysler; (STU) Cruiser, Studebaker
626|(MAZD) 626, Mazda
CL5|(MERZ) CL500, Mercedes-Benz
430|(MASE) 430, Maserati
C22|(MERZ) C220, Mercedes-Benz
XJ6|(JAGU) XJ6, Jaguar
YAR|(TOYT) Yaris, Toyota
WIN|(CHRY) Windsor, Chrysler; (FORD) Windstar, Ford (see English, French, German, and Italian Ford)
129|(LAMO) LM129, Lamborghini
POW|(DESO) Powermaster, DeSoto
NEV|(FORD) Nevada, Ford (see English, French, German, and Italian Ford)
MAU|(MERC) Marauder, Mercury
TOY|(SPEC) Motorized Ride-On Toys
V35|(DODG) Ram 3500 (van), Dodge
RCH|(DODG) Ram Charger, Dodge
CW1|(FORD) Club Wagon E150, Ford (see English, French, German, and Italian Ford)
400|(AUDI) 4000, Audi; (DODG) 400 Series, Dodge; (LEXS) LS400, Lexus; (MASE) 4000 (series), Maserati; (MERZ) 400 Series, Mercedes-Benz
CAV|(CHEV) Cavalier, Chevrolet; (PACK) Cavalier, Packard; (TOYT) Cavalier, Toyota
INT|(JENS) Interceptor, Jensen; (ACUR) Integra, Acura; (DODG) Intrepid, Dodge; (OLDS) Intrigue, Oldsmobile; (CHRY) Intrepid, Chrysler
CNF|(CHEV) Confederate (antique vehicle), Chevrolet
M6|(BMW) M6, BMW
ANG|(ITAF) Anglia, Italian Ford; (ENGF) Anglia, English Ford (British)
911|(PORS) 911, Porsche
AOW|(PLYM) Arrow (imported), Plymouth
HUS|(HILL) Husky, Hillman
JUS|(SUBA) Justy, Subaru
CVR|(CHEV) Corsa (Corvair), Corvair, Chevrolet
LEO|(SUBA) Leone GL Coupe, Subaru
MZ6|(MAZD) 6 (Six), Mazda
404|(PEUG) 404, Peugeot
VED|(FREF) Vedette, French Ford; (SIM) Vedette, Simca
808|(MAZD) 808 Series (piston engine), Mazda
PHT|(ROL) Phantom, Rolls-Royce
B22|(MAZD) B2200, Mazda
X5|(BMW) X5, BMW
SSK|(EXCL) SSK, Excalibur
LBY|(JEEP) Liberty, Jeep
GOF|(SPEC) Golf Carts
RAH|(FORD) Ranch, Ford (see English, French, German, and Italian Ford)
ULY|(FIAT) Ulysse, Fiat
EPD|(FORD) Expedition, Ford (see English, French, German, and Italian Ford)
BRW|(FORD) Brewster (antique vehicle), Ford
S40|(LEXS) SC400, Lexus; (VOLV) S40, Volvo
VIR|(ASTO) Saloon (Virage), Virage (Saloon), Aston Martin
BUG|(VOLK) Beetle (Super Beetle or Bug), Volkswagen
AGT|(ALFA) Alfetta GT, Alfa Romeo
EXE|(CHRY) Executive Sedan, Chrysler; (PONT) Executive, Pontiac
STE|(HYUN) Steilar, Hyundai; (DODG) Stealth, Dodge
MUL|(BENT) Mulsanne, Bentley; (ROL) Mulsanne, Rolls-Royce
TRZ|(BUIC) Terraza, Buick
C25|(CHEV) C/K 2500, Chevrolet
SPE|(BUIC) Special, Buick; (CHEV) Spectrum, Chevrolet; (FORD) Special, Ford (see English, French, German, and Italian Ford)
NIV|(LADA) Niva, Lada (imported from USSR)
RNO|Reno
OAS|(ISU) Oasis (minivan), Isuzu
COU|(LAMO) Countach, Lamborghini; (MERC) Cougar, Mercury
CBO|(CHRY) PT Cabrio, Chrysler
128|(FIAT) 128 Series, Fiat
G40|(BUIC) GS400, Buick
GIT|(ALFA) Giulietta, Alfa Romeo
208|(FERR) 208, Ferrari
I30|(INFI) I30, Infiniti
SL6|(MERZ) SL600, Mercedes-Benz
SFE|(HYUN) Santa Fe, Hyundai
AVA|(HYUN) Avatar, Hyundai; (AUDI) Avant, Audi; (CHEV) Avalanche, Chevrolet; (NSU) Auto Nova, Nsu Prinz; (STU) Avanti, Studebaker; (TOYT) Avalon, Toyota; (LINC) Aviator, Lincoln
LAN|Lancer Evolution
SCA|(PLYM) Scamp (Valiant), Plymouth
XTR|(NISS) X-Terra, Nissan
75L|(BMW) 750iL, BMW
SUB|(CHEV) Suburban, Chevrolet; (GMC) Suburban, General Motors Corp.; (PLYM) Suburban, Plymouth
MEX|(MASE) Mexico, Maserati
DEN|(GMC) Denali, General Motors Corp.
SQA|(TOYT) Sequoia, Toyota
R8|(RENA) R-8, Renault
2ZX|(DATS) 280ZX, Datsun
AA6|(AUDI) A6, Audi
MIU|(LAMO) Miura SV, Lamborghini
SL5|(MERZ) SL500, Mercedes-Benz
PTA|(DETO) Pantera, DeTomaso
520|(BMW) 520, BMW
MIN|(AUST) Mini, Austin; (BREM) Mini-Mark, Bremen Sport Equipment, Inc. (Bremen, IN); (HILL) Minx, Hillman; (MITS) Minica, Mitsubishi; (MORR) Minor, Morris; (SUNB) Minx, Sunbeam
V40|(VOLV) V40, Volvo
TBZ|(CHEV) Trail Blazer, Chevrolet
LT2|(FORD) LTD II, Ford (see English, French, German, and Italian Ford)
323|(BMW) 323i, BMW; (MAZD) 323, Mazda
L43|(LEXS) LS430, Lexus
VRN|(SUZI) Verona, Suzuki
CJ8|(JEEP) CJ-8, Jeep (for vehicle years 1989 to present, use VMA/JEEP); (JEP) CJ-8, Jeep (for vehicle years prior to 1970, use VMA/JEP); (AMER) CJ-8, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER)
RSX|(ACUR) RSX, Acura
FSY|Freestyle
ENS|(VANG) Ensign, Vanguard (Canada)
SL|(STRN) SL, Saturn
KAP|(OPEL) Kapitan, Opel (imported by Buick)
GTV|(ALFA) GT Veloce, Alfa Romeo
745|(BMW) 745i, BMW; (VOLV) 745 Series, Volvo
RRV|(LNDR) Range Rover, Land Rover
MOY|(DAYO) Moya, Daytona
BEA|(ACAD) Beaumont Series, Acadian (GM of Canada)
RGL|Ridgeline
F10|(DATS) F-10, Datsun; (FORD) F100, Ford (see English, French, German, and Italian Ford)
TR3|(TRIU) TR-3 & TR-3A, Triumph
TRN|(VOLK) Touran, Volkswagen
CIV|(HOND) Civic (and CRX), Del Sol, Honda
PON|(HYUN) Pony, Hyundai
BAV|(BMW) Bavaria, BMW
DB6|(ASTO) DB-6, Aston Martin
XE|(NISS) XE, Nissan
MAT|(AMER) Matador, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER)
HUM|(AMGN) Hummer, AM General Corp.; (HUMM) Hummer, HUMMER
DAS|(VOLK) Dasher, Volkswagen
LAU|(BREM) Laufer, Bremen Sport Equipment, Inc. (Bremen, IN); (PONI) Laurentian, Pontiac (Canadian) (Also see make Pontiac)
TCN|Tucson
GT|(ASUN) GT, Asuna; (ENGF) GT, English Ford (British); (OPEL) GT, Opel (imported by Buick); (TRIU) GT Series, Triumph; (FORD) GT, Ford
LUV|(CHEV) Luv, Chevrolet
SW|(STRN) SW, Saturn
FUS|Fusion
LMA|(CHEV) Lumina APV, Chevrolet
BON|(PONT) Bonneville, Pontiac
BEL|(BORG) Bel Air, Borgward; (CHEV) Bel Air, Chevrolet; (PLYM) Belvedere, Plymouth
B30|(MAZD) B3000, Mazda
348|(FERR) 348, Ferrari
ROA|(BUIC) Roadmaster, Buick; (CLEN) Roadster, Clenet Coach Works; (DECO) Roadster, DeCourville
LBN|(CHRY) Le Baron (for vehicle year 1978 or later), Chrysler
F85|(OLDS) F-85, Oldsmobile
TIG|(MESS) Tiger, Messerschmitt; (ROOT) Tiger, Rootes; (SUNB) Tiger, Sunbeam
RDR|(DODG) Raider, Dodge
633|(BMW) 633csi, BMW
FLE|(CADI) Fleetwood, Cadillac; (CHEV) Fleetline, Chevrolet
TOR|(FORD) Torino (Fairlane), Ford (see English, French, German, and Italian Ford); (OLDS) Toronado, Oldsmobile; (PONT) Torrent, Pontiac
ML4|(MERZ) ML430, Mercedes-Benz
SPN|(GMC) Sprint (VMA/GMSP for reference only), General Motors Corp.
93|(SAA) 93 & 93B, Saab
944|(PORS) 944, Porsche
MK3|(LINC) Mark III, Lincoln-Continental; (VANG) Mark III, Vanguard (Canada)
230|(MERZ) 230 Series, Mercedes-Benz
ITA|(HUDS) Italia, Hudson
ATR|(NISS) ALTRA-EV, Nissan
CAM|(CHEV) Camaro, Chevrolet; (PLYM) Cambridge, Plymouth; (ROL) Camargue, Rolls-Royce; (TOYT) Camry, Toyota
AM6|(CITR) AM16, Citroen
FE|Farm and Garden Equipment
XK|(JAGU) XK Series, Jaguar
RDV|(BUIC) Rendezvous, Buick
CAL|(BUIC) California, Buick; (CADI) Calais, Cadillac; (OLDS) Calais, Oldsmobile; (DODG) Caliber, Dodge
CNT|(BUIC) Centurion, Buick; (FORD) Contour, Ford (see English, French, German, and Italian Ford)
PHO|(DODG) Phoenix, Dodge; (PONT) Phoenix, Pontiac
219|(MERZ) 219 Series, Mercedes-Benz
RX7|(MAZD) RX7 (rotary engine), Mazda
STY|(ISU) Stylus, Isuzu; (JAGU) S-Type, Jaguar; (CHEV) Style Line, Chevrolet
AST|(CHEV) Astro Van, Chevrolet; (OPEL) Astra, Opel (imported by Buick); (PONT) Astre, Pontiac
PAT|(PACK) Patrician, Packard; (JEEP) Patriot, Jeep
BRT|(SUBA) Brat, Subaru
CJ6|(JEEP) CJ-6, Jeep (for vehicle years 1989 to present, use VMA/JEEP); (JEP) CJ-6, Jeep (for vehicle years prior to 1970, use VMA/JEP); (AMER) CJ-6, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER)
